OVERALL,POS,BYE,BEST,WORST,AVG,STD DEV,ADP,VS. ADP
Kenyan Drake,RB16,11,15,105,39.1,13.9,33,-6
JuJu Smith-Schuster,WR20,7,28,67,42.7,8.3,42,2
Allen Robinson,WR21,5,25,86,42.9,11.3,47,6
Alex Collins,RB17,10,20,96,44.5,12.7,37,-5
Lamar Miller,RB18,10,23,144,49.4,18.5,46,3
Chris Hogan,WR22,11,31,96,51,13.8,55,11
Marvin Jones,WR23,6,31,90,51.4,11.4,54,9
Russell Wilson,QB2,7,35,92,51.6,12.3,53,7
Brandin Cooks,WR24,12,25,97,51.7,13.9,43,-4
Royce Freeman,RB19,10,12,94,53.1,15.2,40,-8
Tom Brady,QB3,11,31,76,53.5,10.6,50,1
Josh Gordon,WR25,11,28,109,55.4,15,49,-1
Corey Davis,WR26,8,27,101,55.5,14.9,59,8
Jay Ajayi,RB20,9,26,115,56.4,16.2,44,-8
Cam Newton,QB4,4,32,91,56.4,14,60,7
Emmanuel Sanders,WR27,10,40,104,56.8,12.4,65,11
Michael Crabtree,WR28,10,37,101,57.8,15.2,63,8
Dion Lewis,RB21,8,31,126,56.8,15.6,56,0
Deshaun Watson,QB5,10,32,105,60.5,13.8,48,-9
Greg Olsen,TE4,4,34,104,62.1,14.5,57,-1
Derrick Henry,RB22,8,31,116,63.1,16,39,-20
Jamison Crowder,WR29,4,33,98,67,14.3,88,28
Jimmy Graham,TE5,7,25,110,67.1,16.4,52,-9
Drew Brees,QB6,6,42,100,67.6,12.7,68,6
Marquise Goodwin,WR30,11,37,205,68.1,23.4,62,-1
Delanie Walker,TE6,8,22,112,69,15.7,71,7
Mark Ingram,RB23,6,42,131,69.1,20,51,-14
Rex Burkhead,RB24,11,36,128,67.2,20.5,66,0
Cooper Kupp,WR31,12,18,123,71.5,17,83,16
Sammy Watkins,WR32,12,29,139,70.7,17.9,78,10
Marshawn Lynch,RB25,7,43,122,72.7,15.2,58,-11
Evan Engram,TE7,9,41,106,73.2,14.6,64,-6
Chris Thompson,RB26,4,35,114,73,19.6,100,29
Robby Anderson,WR33,11,33,122,76.7,15.4,89,17
Kyle Rudolph,TE8,10,40,125,78,16.1,73,0
Robert Woods,WR34,12,54,166,78.1,19.3,79,5
Tevin Coleman,RB27,8,35,142,77,21.7,67,-8
Kirk Cousins,QB7,10,51,127,79.8,15.1,87,11
Pierre Garcon,WR35,11,44,136,80.1,18.2,91,14
Matthew Stafford,QB8,6,51,149,82.9,17.8,95,17
Nelson Agholor,WR36,9,40,153,83,17.8,99,20
Trey Burton,TE9,5,26,145,83.3,18.4,85,5
Alshon Jeffery,WR37,9,36,118,81,18.7,70,-11
